target,model,horizon,RMSE,MAE,MAPE_%,n_forecasts
cpi_headline,"ARIMAX(1, 1, 1)",1,0.16852334615587997,0.13099592302758953,0.09846390762026551,17
cpi_headline,"ARIMAX(1, 1, 1)",3,0.26937467973415863,0.2268066687788967,0.17023128665448398,17
cpi_headline,"ARIMAX(1, 1, 1)",6,0.34064642773935755,0.24170641820897493,0.18093080708825304,17
cpi_transport,"ETS(add,add,None)",1,0.4186148579051642,0.34112236898966963,0.27993906498309984,17
cpi_transport,"ETS(add,add,None)",3,1.2327530605611787,1.1410553237996122,0.935427845431497,17
cpi_transport,"ETS(add,add,None)",6,1.9474862646815965,1.7526312576003085,1.4345605256448901,17
diesel,"ARIMAX(1, 1, 1)",1,0.25364418975058806,0.12054785239379442,3.9058210387230217,17
diesel,"ARIMAX(1, 1, 1)",3,0.4995772677485735,0.32980781248091817,10.704366955088128,17
diesel,"ARIMAX(1, 1, 1)",6,0.5666939638103475,0.43523101873313985,14.173201528934074,17
ron95,"ETS(add,add,None)",1,0.000551533981704446,0.0005493582807292044,0.02679796490054755,17
ron95,"ETS(add,add,None)",3,0.0016544916272855058,0.0016479649595435052,0.08038853457266439,17
ron95,"ETS(add,add,None)",6,0.13689146667473398,0.0421194043895297,1.7025240489166265,17
ron97,"ARIMA(1, 1, 1)",1,0.08139417860791319,0.05275474286320301,1.596286970150236,17
ron97,"ARIMAX(1, 1, 1)",3,0.145364252421801,0.11389602456640162,3.460231057150194,17
ron97,"ARIMAX(1, 1, 1)",6,0.14478183443191578,0.11971574083576693,3.655563709115229,17
