target,model,horizon,RMSE,MAE,MAPE_%,n_forecasts
cpi_headline,"ARIMAX(1, 1, 1)",1,0.16852334615587997,0.13099592302758953,0.09846390762026551,17
cpi_headline,"ETS(add,add,None)",1,0.1892704496725133,0.13132561544113025,0.09864658729966291,17
cpi_headline,"ARIMA(1, 1, 1)",1,0.24259709389350378,0.19696641746609805,0.14799868190684826,17
cpi_headline,"ARIMAX(1, 1, 1)",3,0.26937467973415863,0.2268066687788967,0.17023128665448398,17
cpi_headline,"ETS(add,add,None)",3,0.2961962485205185,0.2689310030352387,0.20166055699547603,17
cpi_headline,"ARIMA(1, 1, 1)",3,0.3838442199416314,0.3324925697591856,0.24909015211220897,17
cpi_headline,"ARIMAX(1, 1, 1)",6,0.34064642773935755,0.24170641820897493,0.18093080708825304,17
cpi_headline,"ETS(add,add,None)",6,0.4136994374021072,0.32097427156439134,0.24015278605656362,17
cpi_headline,"ARIMA(1, 1, 1)",6,0.6591641313172854,0.5722409112734648,0.4274006783810823,17
cpi_transport,"ETS(add,add,None)",1,0.4186148579051642,0.34112236898966963,0.27993906498309984,17
cpi_transport,"ARIMA(1, 1, 1)",1,0.5859496552177866,0.4948293946083102,0.4064056594797637,17
cpi_transport,"ARIMAX(1, 1, 1)",1,6.792914010238152,2.045208124370194,1.677887178476979,17
cpi_transport,"ETS(add,add,None)",3,1.2327530605611787,1.1410553237996122,0.935427845431497,17
cpi_transport,"ARIMA(1, 1, 1)",3,1.478281919562534,1.2829496523638606,1.0528757530677193,17
cpi_transport,"ARIMAX(1, 1, 1)",3,13.567372053865103,6.342431582389488,5.195854909148933,17
cpi_transport,"ETS(add,add,None)",6,1.9474862646815965,1.7526312576003085,1.4345605256448901,17
cpi_transport,"ARIMA(1, 1, 1)",6,2.8911894858955036,2.8044171460144347,2.2967929734747585,17
cpi_transport,"ARIMAX(1, 1, 1)",6,17.09575599395882,10.748127414590632,8.81580692625214,17
diesel,"ARIMAX(1, 1, 1)",1,0.25364418975058806,0.12054785239379442,3.9058210387230217,17
diesel,"ETS(add,add,None)",1,0.26960767520521567,0.1474954909405189,4.7608389246193425,17
diesel,"ARIMA(1, 1, 1)",1,0.28665671941536036,0.1460933317231967,4.699086309048769,17
diesel,"ARIMAX(1, 1, 1)",3,0.4995772677485735,0.32980781248091817,10.704366955088128,17
diesel,"ETS(add,add,None)",3,0.563503046698455,0.3758096953096594,12.18319228758713,17
diesel,"ARIMA(1, 1, 1)",3,0.5900998122148164,0.4039420960346831,13.181309604482983,17
diesel,"ARIMAX(1, 1, 1)",6,0.5666939638103475,0.43523101873313985,14.173201528934074,17
diesel,"ARIMA(1, 1, 1)",6,0.6912311715720157,0.5534869390680562,18.2024856925814,17
diesel,"ETS(add,add,None)",6,0.7313719442143539,0.5596263706983061,18.24180133816654,17
ron95,"ETS(add,add,None)",1,0.000551533981704446,0.0005493582807292044,0.02679796490054755,17
ron95,"ARIMA(1, 1, 1)",1,0.007349399953405334,0.007317056237953136,0.35692957240896783,17
ron95,"ARIMAX(1, 1, 1)",1,0.00906780869692996,0.007638912176396464,0.3726298620814715,17
ron95,"ETS(add,add,None)",3,0.0016544916272855058,0.0016479649595435052,0.08038853457266439,17
ron95,"ARIMA(1, 1, 1)",3,0.038192670499106206,0.03802564240901384,1.8549093849007194,17
ron95,"ARIMAX(1, 1, 1)",3,0.038356150757269156,0.03715782736557506,1.812576943778014,17
ron95,"ETS(add,add,None)",6,0.13689146667473398,0.0421194043895297,1.7025240489166265,17
ron95,"ARIMAX(1, 1, 1)",6,0.14023525607537607,0.1050711061394401,4.834997778940089,17
ron95,"ARIMA(1, 1, 1)",6,0.14315321080456658,0.10936396214841947,5.042537705626356,17
ron97,"ARIMA(1, 1, 1)",1,0.08139417860791319,0.05275474286320301,1.596286970150236,17
ron97,"ETS(add,add,None)",1,0.08623982864583517,0.05480407158085286,1.6742398248182921,17
ron97,"ARIMAX(1, 1, 1)",1,0.08765400059683032,0.07391824415692778,2.2036552127980142,17
ron97,"ARIMAX(1, 1, 1)",3,0.145364252421801,0.11389602456640162,3.460231057150194,17
ron97,"ARIMA(1, 1, 1)",3,0.21016071881023796,0.17102780629078285,5.246171279452372,17
ron97,"ETS(add,add,None)",3,0.2538552196174419,0.1869037280924621,5.7515093477166035,17
ron97,"ARIMAX(1, 1, 1)",6,0.14478183443191578,0.11971574083576693,3.655563709115229,17
ron97,"ARIMA(1, 1, 1)",6,0.3217709309708266,0.2893453218719253,8.924422822046594,17
ron97,"ETS(add,add,None)",6,0.3752767972388788,0.2784546169227965,8.64350084649583,17
