target,model,horizon,origin,y_true,y_pred,lo95,hi95
ron97,"ARIMA(1, 1, 1)",1,2024-01-31,3.47,3.4895957925407597,3.1797618058708967,3.7994297792106226
ron97,"ARIMAX(1, 1, 1)",1,2024-01-31,3.47,3.5479988474214883,3.308539585073529,3.7874581097694477
ron97,"ETS(add,add,None)",1,2024-01-31,3.47,3.4873787972958836,,
ron97,"ARIMA(1, 1, 1)",3,2024-01-31,3.47,3.5637766862718236,2.80330989862832,4.3242434739153275
ron97,"ARIMAX(1, 1, 1)",3,2024-01-31,3.47,3.709996736554676,3.13933317625425,4.280660296855102
ron97,"ETS(add,add,None)",3,2024-01-31,3.47,3.5221281437994523,,
ron97,"ARIMA(1, 1, 1)",6,2024-01-31,3.47,3.6864422018869774,2.4946794117944284,4.878204991979526
ron97,"ARIMAX(1, 1, 1)",6,2024-01-31,3.47,3.7442464674353957,2.8781431311054573,4.610349803765334
ron97,"ETS(add,add,None)",6,2024-01-31,3.47,3.5742521635548052,,
ron97,"ARIMA(1, 1, 1)",1,2024-02-29,3.47,3.4944655441191554,3.1879654102575294,3.8009656779807814
ron97,"ARIMAX(1, 1, 1)",1,2024-02-29,3.47,3.538762526419407,3.300893947342162,3.776631105496652
ron97,"ETS(add,add,None)",1,2024-02-29,3.47,3.4773062265635595,,
ron97,"ARIMA(1, 1, 1)",3,2024-02-29,3.47,3.569293904048049,2.816803617113287,4.321784190982811
ron97,"ARIMAX(1, 1, 1)",3,2024-02-29,3.47,3.6841564261545896,3.118599104752829,4.24971374755635
ron97,"ETS(add,add,None)",3,2024-02-29,3.47,3.4919152060540766,,
ron97,"ARIMA(1, 1, 1)",6,2024-02-29,3.47,3.6899651416777797,2.5106645163516177,4.869265767003942
ron97,"ARIMAX(1, 1, 1)",6,2024-02-29,3.47,3.6438301367969195,2.7871653852907365,4.500494888303102
ron97,"ETS(add,add,None)",6,2024-02-29,3.47,3.513828675289852,,
ron97,"ARIMA(1, 1, 1)",1,2024-03-31,3.47,3.492771596979575,3.189467397820046,3.796075796139104
ron97,"ARIMAX(1, 1, 1)",1,2024-03-31,3.47,3.482498108873788,3.246401378906108,3.718594838841468
ron97,"ETS(add,add,None)",1,2024-03-31,3.47,3.473069468464533,,
ron97,"ARIMA(1, 1, 1)",3,2024-03-31,3.47,3.5654999039492252,2.820665797221183,4.310334010677268
ron97,"ARIMAX(1, 1, 1)",3,2024-03-31,3.47,3.490966952437509,2.9258208081255743,4.056113096749444
ron97,"ETS(add,add,None)",3,2024-03-31,3.47,3.4792069453182584,,
ron97,"ARIMA(1, 1, 1)",6,2024-03-31,3.46,3.6834863630279,2.5158613595272974,4.851111366528503
ron97,"ARIMAX(1, 1, 1)",6,2024-03-31,3.46,3.3605950016334742,2.5025149239190116,4.218675079347936
ron97,"ETS(add,add,None)",6,2024-03-31,3.46,3.488413160598846,,
ron97,"ARIMA(1, 1, 1)",1,2024-04-30,3.47,3.4925313989047524,3.19234335706115,3.7927194407483547
ron97,"ARIMAX(1, 1, 1)",1,2024-04-30,3.47,3.555963047427898,3.3223265904438666,3.789599504411929
ron97,"ETS(add,add,None)",1,2024-04-30,3.47,3.471289883440436,,
ron97,"ARIMA(1, 1, 1)",3,2024-04-30,3.47,3.5638298739344654,2.8263645414041383,4.3012952064647925
ron97,"ARIMAX(1, 1, 1)",3,2024-04-30,3.47,3.478295605589923,2.918619588492019,4.037971622687826
ron97,"ETS(add,add,None)",3,2024-04-30,3.47,3.4738690366624123,,
ron97,"ARIMA(1, 1, 1)",6,2024-04-30,3.2575,3.679421585242745,2.522903295571247,4.835939874914243
ron97,"ARIMAX(1, 1, 1)",6,2024-04-30,3.2575,3.193140379187014,2.3430393796945217,4.043241378679506
ron97,"ETS(add,add,None)",6,2024-04-30,3.2575,3.477737766495377,,
ron97,"ARIMA(1, 1, 1)",1,2024-05-31,3.47,3.4920179207312048,3.194839954253287,3.7891958872091225
ron97,"ARIMAX(1, 1, 1)",1,2024-05-31,3.47,3.3451358925986634,3.112726296030151,3.577545489167176
ron97,"ETS(add,add,None)",1,2024-05-31,3.47,3.4705421543371937,,
ron97,"ARIMA(1, 1, 1)",3,2024-05-31,3.47,3.5618474805136207,2.8317074664287816,4.29198749459846
ron97,"ARIMAX(1, 1, 1)",3,2024-05-31,3.47,3.3746271908086967,2.814556829273427,3.9346975523439665
ron97,"ETS(add,add,None)",3,2024-05-31,3.47,3.4716262050724733,,
ron97,"ARIMA(1, 1, 1)",6,2024-05-31,3.19,3.675073008134003,2.530121080991593,4.820024935276413
ron97,"ARIMAX(1, 1, 1)",6,2024-05-31,3.19,3.121567402972796,2.267959672391978,3.9751751335536136
ron97,"ETS(add,add,None)",6,2024-05-31,3.19,3.4732522811753928,,
ron97,"ARIMA(1, 1, 1)",1,2024-06-30,3.47,3.49157326427986,3.1973233511644055,3.7858231773953146
ron97,"ARIMAX(1, 1, 1)",1,2024-06-30,3.47,3.5323620124866815,3.2999669763792494,3.7647570485941135
ron97,"ETS(add,add,None)",1,2024-06-30,3.47,3.4702278973713008,,
ron97,"ARIMA(1, 1, 1)",3,2024-06-30,3.46,3.5599892141589935,2.836780310528766,4.283198117789221
ron97,"ARIMAX(1, 1, 1)",3,2024-06-30,3.46,3.4408684479213885,2.8811230082424566,4.00061388760032
ron97,"ETS(add,add,None)",3,2024-06-30,3.46,3.4706835836870016,,
ron97,"ARIMA(1, 1, 1)",6,2024-06-30,3.19,3.670983588877777,2.53644928562161,4.805517892133944
ron97,"ARIMAX(1, 1, 1)",6,2024-06-30,3.19,3.405816545064547,2.551812634937426,4.259820455191668
ron97,"ETS(add,add,None)",6,2024-06-30,3.19,3.471367113160553,,
ron97,"ARIMA(1, 1, 1)",1,2024-07-31,3.47,3.4911489517909193,3.1997344013449296,3.782563502236909
ron97,"ARIMAX(1, 1, 1)",1,2024-07-31,3.47,3.4831395254742934,3.2524256738344084,3.7138533771141784
ron97,"ETS(add,add,None)",1,2024-07-31,3.47,3.4700957943253012,,
ron97,"ARIMA(1, 1, 1)",3,2024-07-31,3.2575,3.558232340268323,2.8419389094987446,4.274525771037902
