date,yhat,target,model,scenario,lo95,hi95
2025-12-31,2.72707648386768,ron95,"ETS(add,add,None)",baseline,,
2026-01-31,2.8216451062433037,ron95,"ETS(add,add,None)",baseline,,
2026-02-28,2.9162137286189274,ron95,"ETS(add,add,None)",baseline,,
2026-03-31,3.010782350994551,ron95,"ETS(add,add,None)",baseline,,
2026-04-30,3.1053509733701747,ron95,"ETS(add,add,None)",baseline,,
2026-05-31,3.1999195957457984,ron95,"ETS(add,add,None)",baseline,,
2025-12-31,3.2994641084830096,ron97,"ARIMAX(1, 1, 1)",baseline,3.0863350863488677,3.5125931306171516
2026-01-31,3.3179143527553543,ron97,"ARIMAX(1, 1, 1)",baseline,2.9382187304039036,3.697609975106805
2026-02-28,3.333225932765454,ron97,"ARIMAX(1, 1, 1)",baseline,2.834272785205691,3.8321790803252167
2026-03-31,3.3482435683563367,ron97,"ARIMAX(1, 1, 1)",baseline,2.7530002298522627,3.943486906860411
2026-04-30,3.3632336752552767,ron97,"ARIMAX(1, 1, 1)",baseline,2.6852005321827614,4.0412668183277916
2026-05-31,3.3782212040175668,ron97,"ARIMAX(1, 1, 1)",baseline,2.6264577406391565,4.129984667395977
2025-12-31,3.2003950849176763,diesel,"ARIMAX(1, 1, 1)",baseline,3.074318006148483,3.3264721636868697
2026-01-31,3.2331884795807415,diesel,"ARIMAX(1, 1, 1)",baseline,2.973005895266291,3.493371063895192
2026-02-28,3.248728096044784,diesel,"ARIMAX(1, 1, 1)",baseline,2.891284983603339,3.606171208486229
2026-03-31,3.261293808058423,diesel,"ARIMAX(1, 1, 1)",baseline,2.82618040992231,3.6964072061945363
2026-04-30,3.2733469304480325,diesel,"ARIMAX(1, 1, 1)",baseline,2.772208241786027,3.7744856191100378
2026-05-31,3.2853117016054334,diesel,"ARIMAX(1, 1, 1)",baseline,2.7258468999426917,3.844776503268175
2025-12-31,121.59954014997221,cpi_transport,"ETS(add,add,None)",baseline,,
2026-01-31,121.59919025795092,cpi_transport,"ETS(add,add,None)",baseline,,
2026-02-28,121.59884036592963,cpi_transport,"ETS(add,add,None)",baseline,,
2026-03-31,121.59849047390834,cpi_transport,"ETS(add,add,None)",baseline,,
2026-04-30,121.59814058188705,cpi_transport,"ETS(add,add,None)",baseline,,
2026-05-31,121.59779068986576,cpi_transport,"ETS(add,add,None)",baseline,,
2025-12-31,135.22515078941956,cpi_headline,"ARIMAX(1, 1, 1)",baseline,134.7700566130496,135.6802449657895
2026-01-31,135.36557928586407,cpi_headline,"ARIMAX(1, 1, 1)",baseline,134.66845716615467,136.06270140557348
2026-02-28,135.51125225701247,cpi_headline,"ARIMAX(1, 1, 1)",baseline,134.62131879388522,136.40118572013972
2026-03-31,135.6587284343932,cpi_headline,"ARIMAX(1, 1, 1)",baseline,134.60630064128887,136.71115622749753
2026-04-30,135.8068246076553,cpi_headline,"ARIMAX(1, 1, 1)",baseline,134.6124339183227,137.0012152969879
2026-05-31,135.95513395392334,cpi_headline,"ARIMAX(1, 1, 1)",baseline,134.63351101938554,137.27675688846114
