target,model,target_date,roll_MAE,roll_RMSE,roll_bias,roll_cov95
cpi_headline,"ARIMAX(1, 1, 1)",2024-01-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-02-29,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-03-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-04-30,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-05-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-06-30,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-07-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-08-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-09-30,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-10-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-11-30,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-12-31,0.1414177212362541,0.1755712740374885,0.013878940573574047,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-01-31,0.1374373779407776,0.1743772768937033,0.005131002283124057,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-02-28,0.12680810119230537,0.15033478836738004,-0.005498274465348156,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-03-31,0.12997503163827892,0.15264147381925786,-0.008665204911321686,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-04-30,0.12981394456374792,0.1525816940286143,-0.008826291985852682,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-05-31,0.10965617162858383,0.1337434292601253,-0.03112483863802377,1.0
cpi_transport,"ETS(add,add,None)",2024-01-31,,,,
cpi_transport,"ETS(add,add,None)",2024-02-29,,,,
cpi_transport,"ETS(add,add,None)",2024-03-31,,,,
cpi_transport,"ETS(add,add,None)",2024-04-30,,,,
cpi_transport,"ETS(add,add,None)",2024-05-31,,,,
cpi_transport,"ETS(add,add,None)",2024-06-30,,,,
cpi_transport,"ETS(add,add,None)",2024-07-31,,,,
cpi_transport,"ETS(add,add,None)",2024-08-31,,,,
cpi_transport,"ETS(add,add,None)",2024-09-30,,,,
cpi_transport,"ETS(add,add,None)",2024-10-31,,,,
