date,cpi_transport,cpi_headline
2020-01-01,115.0,122.4
2020-02-01,113.9,122.4
2020-03-01,104.0,120.9
2020-04-01,90.0,117.6
2020-05-01,90.9,117.9
2020-06-01,98.0,119.1
2020-07-01,102.8,119.9
2020-08-01,103.2,120.1
2020-09-01,103.2,120.1
2020-10-01,103.1,120.2
2020-11-01,102.1,120.0
2020-12-01,105.2,120.6
2021-01-01,109.1,122.1
2021-02-01,111.6,122.5
2021-03-01,114.2,122.9
2021-04-01,114.3,123.1
2021-05-01,114.5,123.1
2021-06-01,114.3,123.2
2021-07-01,114.7,122.5
2021-08-01,114.6,122.5
2021-09-01,114.6,122.8
2021-10-01,114.8,123.7
2021-11-01,115.1,124.0
2021-12-01,115.2,124.5
2022-01-01,115.7,124.9
2022-02-01,115.9,125.2
2022-03-01,117.2,125.6
2022-04-01,117.7,125.9
2022-05-01,119.0,126.6
2022-06-01,120.5,127.4
2022-07-01,121.1,127.9
2022-08-01,120.6,128.2
2022-09-01,120.7,128.3
2022-10-01,120.8,128.6
2022-11-01,120.8,129.0
2022-12-01,120.9,129.2
2023-01-01,120.3,129.5
2023-02-01,120.2,129.8
2023-03-01,120.0,129.9
2023-04-01,120.4,130.0
2023-05-01,120.2,130.2
2023-06-01,120.5,130.4
2023-07-01,120.6,130.5
2023-08-01,120.6,130.7
2023-09-01,120.6,130.8
2023-10-01,120.8,130.9
2023-11-01,120.9,130.9
2023-12-01,121.3,131.2
2024-01-01,121.2,131.4
2024-02-01,121.7,132.1
2024-03-01,121.5,132.2
2024-04-01,121.4,132.4
2024-05-01,121.3,132.8
2024-06-01,121.9,133.0
2024-07-01,122.1,133.1
2024-08-01,122.2,133.2
2024-09-01,121.9,133.2
2024-10-01,121.7,133.4
2024-11-01,121.4,133.3
2024-12-01,121.8,133.4
2025-01-01,122.3,133.6
2025-02-01,122.6,134.1
2025-03-01,122.3,134.1
2025-04-01,122.3,134.3
2025-05-01,122.1,134.4
2025-06-01,122.3,134.5
2025-07-01,122.6,134.7
2025-08-01,122.5,134.9
2025-09-01,122.7,135.2
2025-10-01,121.6,135.1
2025-11-01,121.6,135.1
