ron95,ron97,diesel,date
2.08,2.5725,2.18,2020-01-31
2.068,2.378,2.134,2020-02-29
1.6324999999999998,1.9275,1.815,2020-03-31
1.2625,1.5625,1.4675,2020-04-30
1.324,1.624,1.474,2020-05-31
1.58,1.88,1.7475,2020-06-30
1.6925,1.9925000000000002,1.85,2020-07-31
1.684,1.984,1.8039999999999998,2020-08-31
1.67,1.97,1.72,2020-09-30
1.668,1.968,1.722,2020-10-31
1.635,1.935,1.77,2020-11-30
1.7525,2.0525,1.9425,2020-12-31
1.8739999999999999,2.1740000000000004,2.0479999999999996,2021-01-31
1.9849999999999999,2.285,2.1399999999999997,2021-02-28
2.05,2.43,2.15,2021-03-31
2.05,2.552,2.15,2021-04-30
2.05,2.605,2.15,2021-05-31
2.05,2.655,2.15,2021-06-30
2.05,2.718,2.15,2021-07-31
2.05,2.7350000000000003,2.15,2021-08-31
2.05,2.738,2.15,2021-09-30
2.05,2.87,2.15,2021-10-31
2.05,3.0675,2.15,2021-11-30
2.05,3.0,2.15,2021-12-31
2.05,3.0725,2.15,2022-01-31
2.05,3.2225,2.15,2022-02-28
2.05,3.7880000000000003,2.15,2022-03-31
2.05,3.8425000000000002,2.15,2022-04-30
2.05,4.32,2.15,2022-05-31
2.05,4.786,2.15,2022-06-30
2.05,4.6875,2.15,2022-07-31
2.05,4.3875,2.15,2022-08-31
2.05,4.14,2.15,2022-09-30
2.05,3.95,2.15,2022-10-31
2.05,3.95,2.15,2022-11-30
2.05,3.5700000000000003,2.15,2022-12-31
2.05,3.35,2.15,2023-01-31
2.05,3.35,2.15,2023-02-28
2.05,3.35,2.15,2023-03-31
2.05,3.35,2.15,2023-04-30
2.05,3.35,2.15,2023-05-31
2.05,3.37,2.15,2023-06-30
2.05,3.37,2.15,2023-07-31
2.05,3.37,2.15,2023-08-31
2.05,3.37,2.15,2023-09-30
2.05,3.42,2.15,2023-10-31
2.05,3.47,2.15,2023-11-30
2.05,3.47,2.15,2023-12-31
2.05,3.47,2.15,2024-01-31
2.05,3.47,2.15,2024-02-29
2.05,3.47,2.15,2024-03-31
2.05,3.47,2.15,2024-04-30
2.05,3.47,2.15,2024-05-31
2.05,3.47,3.1100000000000003,2024-06-30
2.05,3.47,3.35,2024-07-31
2.05,3.46,3.2619999999999996,2024-08-31
2.05,3.2575,3.0175,2024-09-30
2.05,3.19,2.95,2024-10-31
2.05,3.19,2.95,2024-11-30
2.05,3.2125,2.95,2024-12-31
2.05,3.37,3.08,2025-01-31
2.05,3.43,3.18,2025-02-28
2.05,3.3049999999999997,3.0625,2025-03-31
2.05,3.2425,2.9425,2025-04-30
2.05,3.1100000000000003,2.804,2025-05-31
2.05,3.1225,2.7925,2025-06-30
2.05,3.19,2.8920000000000003,2025-07-31
2.05,3.1475,2.8925,2025-08-31
2.1599999999999997,3.194,2.914,2025-09-30
2.6,3.1750000000000003,2.9250000000000003,2025-10-31
2.6325,3.2475,3.0675,2025-11-30
2.62,3.24,3.025,2025-12-31
