date,usdmyr
2020-01-02,4.0905
2020-01-03,4.09
2020-01-06,4.102
2020-01-07,4.1015
2020-01-08,4.112
2020-01-09,4.0915
2020-01-10,4.0895
2020-01-13,4.0665
2020-01-14,4.0575
2020-01-15,4.0825
2020-01-16,4.065
2020-01-17,4.0635
2020-01-20,4.0575
2020-01-21,4.0605
2020-01-22,4.0805
2020-01-23,4.0675
2020-01-24,4.0713
2020-01-28,4.08
2020-01-29,4.0805
2020-01-30,4.0865
2020-01-31,4.086
2020-02-03,4.103
2020-02-04,4.1215
2020-02-05,4.1125
2020-02-06,4.1215
2020-02-07,4.1305
2020-02-10,4.147
2020-02-11,4.1425
2020-02-12,4.133
2020-02-13,4.1425
2020-02-14,4.145
2020-02-17,4.139
2020-02-18,4.148
2020-02-19,4.1545
2020-02-20,4.17
2020-02-21,4.19
2020-02-24,4.216
2020-02-25,4.2195
2020-02-26,4.237
2020-02-27,4.2165
2020-02-28,4.2085
2020-03-02,4.2125
2020-03-03,4.201
2020-03-04,4.1825
2020-03-05,4.1725
2020-03-06,4.1755
2020-03-09,4.2
2020-03-10,4.235
2020-03-11,4.247
2020-03-12,4.245
2020-03-13,4.2825
2020-03-16,4.2935
2020-03-17,4.311
2020-03-18,4.358
2020-03-19,4.3825
2020-03-20,4.4205
2020-03-23,4.415
2020-03-24,4.4385
2020-03-25,4.435
2020-03-26,4.3875
2020-03-27,4.305
2020-03-30,4.3375
2020-03-31,4.3275
2020-04-01,4.285
2020-04-02,4.38
2020-04-03,4.3675
2020-04-06,4.3665
2020-04-07,4.345
2020-04-08,4.3625
2020-04-09,4.335
2020-04-10,4.3205
2020-04-13,4.3175
2020-04-14,4.32
2020-04-15,4.327
2020-04-16,4.3652
2020-04-17,4.36
2020-04-20,4.375
2020-04-21,4.383
2020-04-22,4.395
2020-04-23,4.365
2020-04-24,4.369
2020-04-27,4.361
2020-04-28,4.36
2020-04-29,4.36
2020-04-30,4.335
2020-05-04,4.346
2020-05-05,4.315
2020-05-06,4.311
2020-05-08,4.3
2020-05-12,4.35
2020-05-13,4.34
2020-05-14,4.338
2020-05-15,4.348
2020-05-18,4.359
2020-05-19,4.3415
2020-05-20,4.35
2020-05-21,4.349
2020-05-22,4.3525
2020-05-27,4.3525
2020-05-28,4.351
2020-05-29,4.351
2020-06-01,4.342
2020-06-02,4.293
2020-06-03,4.253
2020-06-04,4.2665
2020-06-05,4.268
2020-06-09,4.245
2020-06-10,4.273
2020-06-11,4.2395
2020-06-12,4.2825
2020-06-15,4.278
2020-06-16,4.263
2020-06-17,4.2745
2020-06-18,4.28
2020-06-19,4.283
2020-06-22,4.278
2020-06-23,4.275
2020-06-24,4.2735
2020-06-25,4.2785
2020-06-26,4.2785
2020-06-29,4.2935
2020-06-30,4.285
2020-07-01,4.2825
2020-07-02,4.29
2020-07-03,4.2855
2020-07-06,4.2825
