date,division,inflation_yoy,inflation_mom
2000-02-01,overall,,0.1
2000-03-01,overall,,-0.1
2000-04-01,overall,,0.0
2000-05-01,overall,,0.1
2000-06-01,overall,,0.0
2000-07-01,overall,,0.1
2000-08-01,overall,,0.0
2000-09-01,overall,,0.0
2000-10-01,overall,,0.4
2000-11-01,overall,,0.1
2000-12-01,overall,,0.5
2001-01-01,overall,1.5,0.2
2001-02-01,overall,1.6,0.2
2001-03-01,overall,1.5,-0.2
2001-04-01,overall,1.6,0.1
2001-05-01,overall,1.6,0.1
2001-06-01,overall,1.5,-0.1
2001-07-01,overall,1.4,0.0
2001-08-01,overall,1.2,-0.1
2001-09-01,overall,1.4,0.1
2001-10-01,overall,0.9,-0.1
2001-11-01,overall,1.6,0.9
2001-12-01,overall,1.1,0.0
2002-01-01,overall,1.1,0.2
2002-02-01,overall,1.1,0.2
2002-03-01,overall,2.1,0.7
2002-04-01,overall,1.8,-0.1
2002-05-01,overall,1.8,0.1
2002-06-01,overall,2.1,0.1
2002-07-01,overall,2.1,0.0
2002-08-01,overall,2.1,-0.1
2002-09-01,overall,2.1,0.1
2002-10-01,overall,2.1,-0.1
2002-11-01,overall,1.5,0.2
2002-12-01,overall,1.7,0.2
2003-01-01,overall,1.7,0.2
2003-02-01,overall,1.6,0.1
2003-03-01,overall,0.7,-0.1
2003-04-01,overall,1.0,0.1
2003-05-01,overall,1.0,0.1
2003-06-01,overall,0.7,-0.1
2003-07-01,overall,1.0,0.2
2003-08-01,overall,1.0,-0.1
2003-09-01,overall,1.1,0.2
2003-10-01,overall,1.2,0.0
2003-11-01,overall,1.1,0.1
2003-12-01,overall,1.2,0.4
2004-01-01,overall,1.0,0.0
2004-02-01,overall,0.8,0.0
2004-03-01,overall,1.0,0.0
2004-04-01,overall,1.0,0.1
2004-05-01,overall,1.2,0.4
2004-06-01,overall,1.3,0.0
2004-07-01,overall,1.3,0.2
2004-08-01,overall,1.4,0.0
2004-09-01,overall,1.5,0.4
2004-10-01,overall,2.1,0.6
2004-11-01,overall,2.3,0.2
2004-12-01,overall,2.0,0.1
2005-01-01,overall,2.4,0.3
2005-02-01,overall,2.5,0.1
2005-03-01,overall,2.5,0.0
2005-04-01,overall,2.5,0.1
2005-05-01,overall,2.9,0.8
2005-06-01,overall,3.2,0.2
