date,division,index
2000-01-01,overall,80.3
2000-02-01,overall,80.4
2000-03-01,overall,80.3
2000-04-01,overall,80.3
2000-05-01,overall,80.4
2000-06-01,overall,80.4
2000-07-01,overall,80.5
2000-08-01,overall,80.5
2000-09-01,overall,80.5
2000-10-01,overall,80.8
2000-11-01,overall,80.9
2000-12-01,overall,81.3
2001-01-01,overall,81.5
2001-02-01,overall,81.7
2001-03-01,overall,81.5
2001-04-01,overall,81.6
2001-05-01,overall,81.7
2001-06-01,overall,81.6
2001-07-01,overall,81.6
2001-08-01,overall,81.5
2001-09-01,overall,81.6
2001-10-01,overall,81.5
2001-11-01,overall,82.2
2001-12-01,overall,82.2
2002-01-01,overall,82.4
2002-02-01,overall,82.6
2002-03-01,overall,83.2
2002-04-01,overall,83.1
2002-05-01,overall,83.2
2002-06-01,overall,83.3
2002-07-01,overall,83.3
2002-08-01,overall,83.2
2002-09-01,overall,83.3
2002-10-01,overall,83.2
2002-11-01,overall,83.4
2002-12-01,overall,83.6
2003-01-01,overall,83.8
2003-02-01,overall,83.9
2003-03-01,overall,83.8
2003-04-01,overall,83.9
2003-05-01,overall,84.0
2003-06-01,overall,83.9
2003-07-01,overall,84.1
2003-08-01,overall,84.0
2003-09-01,overall,84.2
2003-10-01,overall,84.2
2003-11-01,overall,84.3
2003-12-01,overall,84.6
2004-01-01,overall,84.6
2004-02-01,overall,84.6
2004-03-01,overall,84.6
2004-04-01,overall,84.7
2004-05-01,overall,85.0
2004-06-01,overall,85.0
2004-07-01,overall,85.2
2004-08-01,overall,85.2
2004-09-01,overall,85.5
2004-10-01,overall,86.0
2004-11-01,overall,86.2
2004-12-01,overall,86.3
2005-01-01,overall,86.6
2005-02-01,overall,86.7
2005-03-01,overall,86.7
2005-04-01,overall,86.8
2005-05-01,overall,87.5
2005-06-01,overall,87.7
2005-07-01,overall,87.7
2005-08-01,overall,88.3
2005-09-01,overall,88.5
2005-10-01,overall,88.7
2005-11-01,overall,89.0
2005-12-01,overall,89.1
2006-01-01,overall,89.4
2006-02-01,overall,89.5
2006-03-01,overall,90.8
2006-04-01,overall,90.8
2006-05-01,overall,91.0
2006-06-01,overall,91.1
2006-07-01,overall,91.3
2006-08-01,overall,91.2
2006-09-01,overall,91.4
2006-10-01,overall,91.4
2006-11-01,overall,91.7
2006-12-01,overall,91.8
2007-01-01,overall,92.3
2007-02-01,overall,92.3
2007-03-01,overall,92.2
2007-04-01,overall,92.2
2007-05-01,overall,92.3
2007-06-01,overall,92.5
2007-07-01,overall,92.8
2007-08-01,overall,93.0
2007-09-01,overall,93.1
2007-10-01,overall,93.2
2007-11-01,overall,93.8
2007-12-01,overall,94.0
2008-01-01,overall,94.4
2008-02-01,overall,94.7
2008-03-01,overall,94.7
2008-04-01,overall,95.0
2008-05-01,overall,95.8
2008-06-01,overall,99.6
2008-07-01,overall,100.7
2008-08-01,overall,100.9
2008-09-01,overall,100.7
2008-10-01,overall,100.3
2008-11-01,overall,99.1
2008-12-01,overall,98.2
2009-01-01,overall,98.1
2009-02-01,overall,98.3
2009-03-01,overall,98.1
2009-04-01,overall,97.9
2009-05-01,overall,98.1
2009-06-01,overall,98.2
2009-07-01,overall,98.3
2009-08-01,overall,98.4
2009-09-01,overall,98.7
2009-10-01,overall,98.8
2009-11-01,overall,99.0
2009-12-01,overall,99.2
2010-01-01,overall,99.4
2010-02-01,overall,99.4
2010-03-01,overall,99.4
2010-04-01,overall,99.4
2010-05-01,overall,99.6
2010-06-01,overall,99.7
2010-07-01,overall,100.0
2010-08-01,overall,100.3
2010-09-01,overall,100.4
2010-10-01,overall,100.6
2010-11-01,overall,100.8
2010-12-01,overall,101.2
2011-01-01,overall,101.8
2011-02-01,overall,102.3
2011-03-01,overall,102.4
2011-04-01,overall,102.6
2011-05-01,overall,102.9
2011-06-01,overall,103.2
2011-07-01,overall,103.4
2011-08-01,overall,103.6
2011-09-01,overall,103.9
2011-10-01,overall,104.0
2011-11-01,overall,104.1
2011-12-01,overall,104.2
2012-01-01,overall,104.5
2012-02-01,overall,104.5
2012-03-01,overall,104.5
2012-04-01,overall,104.5
2012-05-01,overall,104.7
2012-06-01,overall,104.8
2012-07-01,overall,104.8
2012-08-01,overall,105.0
2012-09-01,overall,105.2
2012-10-01,overall,105.4
2012-11-01,overall,105.5
2012-12-01,overall,105.5
2013-01-01,overall,105.9
2013-02-01,overall,106.1
2013-03-01,overall,106.2
2013-04-01,overall,106.3
2013-05-01,overall,106.6
2013-06-01,overall,106.7
2013-07-01,overall,106.9
2013-08-01,overall,107.0
2013-09-01,overall,107.9
2013-10-01,overall,108.3
2013-11-01,overall,108.6
2013-12-01,overall,108.9
2014-01-01,overall,109.5
2014-02-01,overall,109.8
2014-03-01,overall,109.9
2014-04-01,overall,109.9
2014-05-01,overall,110.0
2014-06-01,overall,110.2
2014-07-01,overall,110.3
2014-08-01,overall,110.5
2014-09-01,overall,110.7
2014-10-01,overall,111.3
2014-11-01,overall,111.9
2014-12-01,overall,111.8
2015-01-01,overall,110.6
2015-02-01,overall,109.9
2015-03-01,overall,110.9
2015-04-01,overall,111.9
2015-05-01,overall,112.3
2015-06-01,overall,113.0
2015-07-01,overall,113.9
2015-08-01,overall,113.9
2015-09-01,overall,113.6
2015-10-01,overall,114.1
2015-11-01,overall,114.8
2015-12-01,overall,114.8
2016-01-01,overall,114.5
2016-02-01,overall,114.5
2016-03-01,overall,113.8
2016-04-01,overall,114.3
2016-05-01,overall,114.6
2016-06-01,overall,114.8
2016-07-01,overall,115.1
2016-08-01,overall,115.6
2016-09-01,overall,115.3
2016-10-01,overall,115.7
2016-11-01,overall,116.8
2016-12-01,overall,116.8
2017-01-01,overall,118.1
2017-02-01,overall,119.6
2017-03-01,overall,119.4
2017-04-01,overall,119.2
2017-05-01,overall,119.0
2017-06-01,overall,118.7
2017-07-01,overall,118.7
2017-08-01,overall,119.8
2017-09-01,overall,120.1
2017-10-01,overall,120.0
2017-11-01,overall,120.8
2017-12-01,overall,120.9
2018-01-01,overall,121.3
2018-02-01,overall,121.3
2018-03-01,overall,120.9
2018-04-01,overall,120.9
2018-05-01,overall,121.1
2018-06-01,overall,119.6
2018-07-01,overall,119.8
2018-08-01,overall,120.0
2018-09-01,overall,120.5
2018-10-01,overall,120.7
2018-11-01,overall,121.0
2018-12-01,overall,121.1
2019-01-01,overall,120.5
2019-02-01,overall,120.8
2019-03-01,overall,121.1
2019-04-01,overall,121.1
2019-05-01,overall,121.4
2019-06-01,overall,121.4
2019-07-01,overall,121.5
2019-08-01,overall,121.8
2019-09-01,overall,121.8
2019-10-01,overall,122.0
2019-11-01,overall,122.1
2019-12-01,overall,122.3
2020-01-01,overall,122.4
2020-02-01,overall,122.4
2020-03-01,overall,120.9
2020-04-01,overall,117.6
2020-05-01,overall,117.9
2020-06-01,overall,119.1
2020-07-01,overall,119.9
2020-08-01,overall,120.1
2020-09-01,overall,120.1
2020-10-01,overall,120.2
2020-11-01,overall,120.0
2020-12-01,overall,120.6
2021-01-01,overall,122.1
2021-02-01,overall,122.5
2021-03-01,overall,122.9
2021-04-01,overall,123.1
2021-05-01,overall,123.1
2021-06-01,overall,123.2
2021-07-01,overall,122.5
2021-08-01,overall,122.5
2021-09-01,overall,122.8
2021-10-01,overall,123.7
2021-11-01,overall,124.0
2021-12-01,overall,124.5
2022-01-01,overall,124.9
2022-02-01,overall,125.2
2022-03-01,overall,125.6
2022-04-01,overall,125.9
2022-05-01,overall,126.6
2022-06-01,overall,127.4
2022-07-01,overall,127.9
2022-08-01,overall,128.2
2022-09-01,overall,128.3
2022-10-01,overall,128.6
2022-11-01,overall,129.0
2022-12-01,overall,129.2
2023-01-01,overall,129.5
2023-02-01,overall,129.8
2023-03-01,overall,129.9
2023-04-01,overall,130.0
2023-05-01,overall,130.2
2023-06-01,overall,130.4
2023-07-01,overall,130.5
2023-08-01,overall,130.7
2023-09-01,overall,130.8
2023-10-01,overall,130.9
2023-11-01,overall,130.9
2023-12-01,overall,131.2
