date,ron95,ron97,diesel,diesel_eastmsia,ron95_budi95,ron95_skps
1/1/2026,2.56,3.16,2.94,2.15,1.99,2.05
12/25/2025,2.56,3.16,2.94,2.15,1.99,2.05
12/18/2025,2.62,3.24,3.02,2.15,1.99,2.05
12/11/2025,2.64,3.27,3.06,2.15,1.99,2.05
12/4/2025,2.66,3.29,3.08,2.15,1.99,2.05
11/27/2025,2.63,3.26,3.08,2.15,1.99,2.05
11/20/2025,2.65,3.28,3.1,2.15,1.99,2.05
11/13/2025,2.65,3.25,3.07,2.15,1.99,2.05
11/6/2025,2.6,3.2,3.02,2.15,1.99,2.05
10/30/2025,2.6,3.2,2.95,2.15,1.99,2.05
10/23/2025,2.6,3.14,2.89,2.15,1.99,2.05
10/16/2025,2.6,3.18,2.93,2.15,1.99,2.05
10/9/2025,2.6,3.18,2.93,2.15,1.99,2.05
9/30/2025,2.6,3.21,2.93,2.15,1.99,2.05
9/25/2025,2.05,3.21,2.93,2.15,,
9/18/2025,2.05,3.21,2.93,2.15,,
9/11/2025,2.05,3.18,2.9,2.15,,
9/4/2025,2.05,3.16,2.88,2.15,,
8/28/2025,2.05,3.16,2.88,2.15,,
8/21/2025,2.05,3.13,2.85,2.15,,
8/14/2025,2.05,3.13,2.9,2.15,,
8/7/2025,2.05,3.17,2.94,2.15,,
7/31/2025,2.05,3.17,2.91,2.15,,
7/24/2025,2.05,3.21,2.91,2.15,,
7/17/2025,2.05,3.21,2.91,2.15,,
7/10/2025,2.05,3.18,2.88,2.15,,
7/3/2025,2.05,3.18,2.85,2.15,,
6/26/2025,2.05,3.21,2.88,2.15,,
6/19/2025,2.05,3.14,2.81,2.15,,
6/12/2025,2.05,3.07,2.74,2.15,,
6/5/2025,2.05,3.07,2.74,2.15,,
5/29/2025,2.05,3.1,2.77,2.15,,
5/22/2025,2.05,3.1,2.8,2.15,,
5/15/2025,2.05,3.07,2.77,2.15,,
5/8/2025,2.05,3.1,2.8,2.15,,
5/1/2025,2.05,3.18,2.88,2.15,,
4/24/2025,2.05,3.18,2.88,2.15,,
4/17/2025,2.05,3.18,2.88,2.15,,
4/10/2025,2.05,3.28,2.98,2.15,,
4/3/2025,2.05,3.33,3.03,2.15,,
3/27/2025,2.05,3.28,3.03,2.15,,
3/20/2025,2.05,3.28,3.03,2.15,,
3/13/2025,2.05,3.28,3.06,2.15,,
3/6/2025,2.05,3.38,3.13,2.15,,
2/27/2025,2.05,3.43,3.18,2.15,,
2/20/2025,2.05,3.43,3.18,2.15,,
2/13/2025,2.05,3.43,3.18,2.15,,
2/6/2025,2.05,3.43,3.18,2.15,,
1/30/2025,2.05,3.43,3.18,2.15,,
1/23/2025,2.05,3.43,3.13,2.15,,
1/16/2025,2.05,3.38,3.08,2.15,,
1/9/2025,2.05,3.33,3.03,2.15,,
1/2/2025,2.05,3.28,2.98,2.15,,
12/26/2024,2.05,3.25,2.95,2.15,,
12/19/2024,2.05,3.22,2.95,2.15,,
12/12/2024,2.05,3.19,2.95,2.15,,
12/5/2024,2.05,3.19,2.95,2.15,,
11/28/2024,2.05,3.19,2.95,2.15,,
11/21/2024,2.05,3.19,2.95,2.15,,
11/14/2024,2.05,3.19,2.95,2.15,,
11/7/2024,2.05,3.19,2.95,2.15,,
10/31/2024,2.05,3.19,2.95,2.15,,
10/24/2024,2.05,3.19,2.95,2.15,,
10/17/2024,2.05,3.19,2.95,2.15,,
10/10/2024,2.05,3.19,2.95,2.15,,
10/3/2024,2.05,3.19,2.95,2.15,,
9/26/2024,2.05,3.19,2.95,2.15,,
9/19/2024,2.05,3.19,2.95,2.15,,
9/12/2024,2.05,3.25,3.01,2.15,,
9/5/2024,2.05,3.4,3.16,2.15,,
8/29/2024,2.05,3.42,3.18,2.15,,
8/22/2024,2.05,3.47,3.23,2.15,,
