,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
2-Jan-20,4.0905,5.4228,4.5889,3.7629,4.224,2.8691,3.152,3.0409,52.4877,0.0177,0.101,2.7541,0.2779,5.7429,111.3622,2.6413,3.5893,0.255
3-Jan-20,4.09,5.3806,4.5708,3.7729,4.2113,2.8565,3.1498,3.0367,52.5076,0.0177,0.0999,2.7385,0.2786,5.7323,111.3486,2.6387,3.5814,0.255
6-Jan-20,4.102,5.365,4.5797,3.7952,4.2219,2.8521,3.1606,3.0396,52.7155,0.0177,0.1004,2.7336,0.2804,5.7155,111.6753,2.655,3.5707,0.2556
7-Jan-20,4.1015,5.4031,4.5896,3.7825,4.2327,2.8417,3.1645,3.0403,52.7541,0.0177,0.1008,2.733,0.2803,5.7071,111.6617,2.6484,3.5636,0.2551
8-Jan-20,4.112,5.3917,4.5884,3.8122,4.2517,2.8206,3.1641,3.0423,52.8939,0.0177,0.1007,2.7256,0.2814,5.7234,111.9475,2.6552,3.5777,0.2558
9-Jan-20,4.0915,5.364,4.5471,3.7473,4.2014,2.8125,3.1395,3.0306,52.6076,0.0177,0.1002,2.7204,0.281,5.7216,111.3894,2.6414,3.5668,0.2552
10-Jan-20,4.0895,5.3444,4.5424,3.735,4.2013,2.8048,3.1298,3.0261,52.6628,0.0176,0.1002,2.7015,0.2788,5.7429,111.335,2.6435,3.589,0.2557
13-Jan-20,4.0665,5.3015,4.5213,3.7106,4.1778,2.8077,3.1131,3.0162,52.3622,0.0175,0.1002,2.6993,0.2789,5.7307,110.7088,2.6254,3.5825,0.255
14-Jan-20,4.0575,5.2725,4.5194,3.6834,4.1802,2.8015,3.1088,3.0144,52.1882,0.0175,0.0996,2.6885,0.2743,5.7382,110.4638,2.6203,3.5785,0.2547
15-Jan-20,4.0825,5.3146,4.5436,3.7146,4.2216,2.8153,3.1249,3.0292,52.4827,0.0176,0.1002,2.6971,0.2764,5.7622,111.1444,2.6364,3.5996,0.2571
16-Jan-20,4.065,5.3014,4.5341,3.6976,4.2164,2.8112,3.1172,3.0204,52.321,0.0175,0.1003,2.6967,0.2752,5.748,110.668,2.6267,3.5877,0.2563
17-Jan-20,4.0635,5.3136,4.5259,3.6852,4.2113,2.8022,3.1153,3.0176,52.2795,0.0175,0.1002,2.6963,0.277,5.725,110.6271,2.6274,3.5811,0.2567
20-Jan-20,4.0575,5.275,4.5012,3.6824,4.1916,2.7905,3.1048,3.0114,52.2318,0.0175,0.1007,2.684,0.2768,5.7084,110.4638,2.6312,3.5675,0.2564
21-Jan-20,4.0605,5.2778,4.5041,3.6842,4.1915,2.7906,3.1113,3.0139,52.2506,0.0175,0.1003,2.682,0.2775,5.7158,110.5455,2.6256,3.569,0.2572
22-Jan-20,4.0805,5.3253,4.5222,3.7128,4.2084,2.7896,3.1185,3.0211,52.5225,0.0176,0.1007,2.6886,0.2791,5.7326,111.0899,2.6386,3.5816,0.2583
23-Jan-20,4.0675,5.3463,4.5094,3.7087,4.2024,2.795,3.0922,3.0153,52.3195,0.0176,0.1005,2.6817,0.2775,5.7224,110.736,2.6322,3.5705,0.2574
24-Jan-20,4.0713,5.3401,4.4997,3.7168,4.1982,2.7874,3.1006,3.0144,52.3751,0.0176,0.1001,2.6937,0.2777,5.702,110.8381,2.6321,3.5703,0.2582
28-Jan-20,4.08,5.3279,4.4958,3.7481,4.2068,2.7532,3.0942,3.0046,52.4513,0.0176,0.1004,2.6667,0.2787,5.7103,111.0763,2.6401,3.5694,0.2584
